"symbol","block"
"FAM91A1","Block3"
"FER1L6","Block2"
"FER1L6-AS2","Block6"
"LOC101927588","Block2"
"TMEM65","Block4"
"TRMT12","Block3"
"RNF139","Block2"
"TATDN1","Block3"
"NDUFB9","Block3"
"MTSS1","Block3"
"LINC00964","Block4"
"ZNF572","Block3"
"SQLE","Block4"
"NSMCE2","Block4"
"TRIB1","Block3"
"LINC00861","Block3"
"LOC101927657","Block4"
"LOC105375750","Block3"
"PCAT1","Block2"
"PCAT2","Block2"
"PRNCR1","Block2"
"CASC8","Block1"
"POU5F1B","Block2"
"CCAT2","Block2"
"CASC11","Block3"
"MYC","Block1"
"PVT1","Block1"
"ASAP1","Block3"
"ASAP1-IT2","Block3"
"ADCY8","Block3"
"EFR3A","Block3"
"HHLA1","Block6"
"KCNQ3","Block5"
"TMEM71","Block3"
"PHF20L1","Block3"
"TG","Block5"
"SLA","Block4"
"NDRG1","Block1"
"ST3GAL1","Block5"
"LOC101927822","Block2"
"ZFAT","Block1"
"ZFAT-AS1","Block1"
"NCRNA00250","Block3"
"KHDRBS3","Block3"
"FAM135B","Block4"
"COL22A1","Block4"
"KCNK9","Block6"
"TRAPPC9","Block6"
"CHRAC1","Block3"
"AGO2","Block4"
"PTK2","Block4"
"DENND3","Block5"
"SLC45A4","Block5"
"LINC00051","Block1"
"TSNARE1","Block4"
"ADGRB1","Block4"
"ARC","Block3"
"JRK","Block5"
"PSCA","Block6"
"LY6K","Block3"
"THEM6","Block5"
"SLURP1","Block5"
"LYPD2","Block6"
"LYNX1","Block5"
"LY6D","Block6"
"GML","Block6"
"CYP11B1","Block5"
"GPIHBP1","Block2"
"ZFP41","Block4"
"GLI4","Block4"
"MINCR","Block3"
"ZNF696","Block3"
"TOP1MT","Block3"
"RHPN1-AS1","Block3"
"RHPN1","Block4"
"MAFA-AS1","Block5"
"MAFA","Block3"
"LOC105375800","Block4"
"PUF60","Block4"
"NRBP2","Block5"
"EPPK1","Block6"
"PLEC","Block5"
"PARP10","Block6"
"GRINA","Block4"
"SPATC1","Block2"
"OPLAH","Block5"
"EXOSC4","Block4"
"GPAA1","Block4"
"CYC1","Block4"
"SHARPIN","Block4"
"MAF1","Block4"
"WDR97","Block3"
"HGH1","Block5"
"MROH1","Block5"
"BOP1","Block3"
"SCX","Block2"
"TONSL","Block4"
"KIFC2","Block4"
"FOXH1","Block6"
"PPP1R16A","Block4"
"GPT","Block3"
"MFSD3","Block1"
"RECQL4","Block4"
"LRRC14","Block5"
"LRRC24","Block4"
"C8orf82","Block5"
"ARHGAP39","Block4"
"ZNF34","Block3"
"RPL8","Block3"
"ZNF517","Block1"
"ZNF7","Block4"
"COMMD5","Block4"
"ZNF250","Block3"
"ZNF16","Block4"
"ZNF252P","Block5"
"ZNF252P-AS1","Block3"
"C8orf33","Block1"
