gene
HSPA8P13
RPL10AP2
MTND6P20
IDI1P2
ATP6V1G1P2
MAPK6P4
PSAT1P1
RFPL4AP7
NDUFA5P12
CYCSP22
CLVS1-AS1
PDCL3P1
IGLV8OR8-1
RPL3P9
MRPL9P1
VENTXP6
COX6CP8
IFITM8P
RLIG1P3
DPPA3P9
RPL13AP18
NPM1P6
RPL31P40
HNRNPA1P4
SLC2A13P1
ACTBP6
TPM3P3
PSKH2
RPS15AP25
HAUS1P3
JCHAINP1
PSMA2P2
PSMC2P2
STAU2-AS1
TRIM60P15
IRF5P1
DCAF4L2
RPL6P23
GNPNAT1P2
RPS4XP10
MYL12AP1
MIR378D2HG
RPL34P18
UFM1P3
MTCYBP20
BRIX1P1
MTND2P38
SRSF3P2
UBE2HP1
TSPYL5
MTCO2P4
KCNB2-AS1
TRPS1-AS1
BTF3P1
NPM1P52
RPL30P10
RPS26P6
NASPP1
SDCBPP2
RPS12P15
RPL31P41
COXFA4P4
RPSAP48
MTND1P5
NRBF2P4
SUMO2P20
FER1L6-AS1
MRPS36P3
SUMO2P19
LINC01181
EEF1A1P37
NDUFS5P6
MTND1P7
ARF1P3
SLEAR
RPL29P18
CYCSP23
ODF1
RPL17P31
NDUFA5P2
RPS10P16
LINC03084
RPS20P20
SNTB1-AS1
GNPNAT1P3
MTCO1P4
PDCL3P2
RPL30P16
H2AZP2
TRMT10BP1
PRXL2AP2
NACAP10
PPIAP86
SOD1P3
TRAPPC2P2
ATP5PFP3
PGAM1P13
BHLHE22
NDUFB9P3
BTF3P12
TMCC1P1
RPS26P35
PTCSC1
RPL36AP31
CARS1P2
RPSAP74
LINC01299
KRT8P4
RPL32P4
TMX1P2
H2AZP7
ZNHIT1P1
RPL21P78
LYNX1-SLURP2
MAPK6P1
KNOP1P5
NREPP2
DNAJC8P3
RFPL4AP5
NCAPGP1
RPL21P79
RPL19P14
MTCO1P47
RPL35AP19
RNU6-295P
RN7SKP32
RNA5SP531
RN7SKP294
RNU6-819P
RNA5SP267
RNU6-596P
RNU6-13P
RN7SL675P
Y_RNA
RNU1-101P
RNA5SP266
RN7SKP29
Metazoa_SRP
MIR124-2
RN7SL19P
RNU6-656P
RN7SL203P
RNA5SP271
RNA5SP269
RNA5SP270
RNU2-54P
RNA5SP272
MIR8084
MIR5708
RNY3P14
RNU6-1040P
RNU6-690P
MIR378D2
RN7SL685P
